particleCap,steps,total_time,time_generate_path,time_initialise,time_kill_check,time_lattice_radius_check,time_main,time_particle_collision,time_pick_starting_position
25,100,6.8404,0.4391,0.0628,0.0265,1.0519,49.8477,2.1549,0.0097
25,1000,7.0979,0.9656,0.0725,0.0207,1.3980,52.3730,2.8736,0.0196
50,100,13.6134,0.6384,0.0641,0.0394,2.1502,99.6383,4.4995,0.0187
50,1000,13.9414,1.4844,0.0632,0.0173,2.2344,102.0516,4.7535,0.0220
100,100,27.7627,1.0572,0.0606,0.0618,4.3820,203.5100,9.2337,0.0351
100,1000,27.9167,2.4187,0.0635,0.0261,4.5490,203.8109,9.7198,0.0420
250,100,70.8869,3.1319,0.0687,0.2194,12.9610,522.3686,29.8516,0.1394
250,1000,70.6129,5.7219,0.0718,0.0570,11.5019,520.6785,26.7643,0.1064
500,100,144.6601,13.2490,0.0673,0.9511,25.2738,1071.9808,66.0121,0.2896
500,1000,142.6580,11.2111,0.0781,0.1037,23.8701,1055.5381,59.7066,0.2268
750,100,226.4966,14.0415,0.0701,1.0191,38.1266,1646.9143,101.8647,0.3777
750,1000,226.6870,24.8312,0.0616,0.2564,34.4380,1661.8276,94.2789,0.2641
1000,100,300.4678,22.8254,0.0640,1.5018,46.0267,2204.5324,136.7570,0.3523
1000,1000,306.5143,59.1121,0.0616,0.7436,44.7331,2251.9277,138.0485,0.3862
