particleCap,steps,rank,function,lineno,hits,time_s,code
25,100,1,main,190,2161392,8.4228,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
25,100,2,main,195,2161392,6.7655,"                row = int(coords[n,0])"
25,100,3,main,196,2161392,6.6195,"                column = int(coords[n,1])"
25,100,4,main,197,2161392,5.3901,"                check = correlationLattice[row, column]"
25,100,5,main,198,2161392,5.3488,                if check == 0:
25,100,6,main,199,2155837,5.0040,                    empty += 1
25,100,7,main,194,2161632,3.6710,            for n in range(len(coords)):
25,100,8,main,189,2161632,3.4497,            for n in range(len(coordsToCheck[0])):
25,100,9,main,144,24,2.1644,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
25,100,10,particle_collision,58,24,1.0710,    stickyInitialTest = np.nonzero(lattice)
25,100,11,main,145,24,1.0529,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
25,100,12,particle_collision,68,24,1.0481,    latticeCheck = np.nonzero(lattice)
25,100,13,lattice_radius_check,78,24,1.0467,    latticeRadiusInitial = np.nonzero(lattice)
25,100,14,main,130,345,0.5601,"            path = generate_path(steps, startingPosition)"
25,100,15,main,184,22128,0.3146,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
25,100,16,generate_path,47,34155,0.2770,        path[n+1] = particlePosition + movements[direction[n]]
25,100,17,main,135,33518,0.2285,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
25,100,18,main,187,240,0.1253,            coordsToCheck = np.where(circleSelection == True)
25,100,19,main,185,240,0.0989,"            circleX, circleY = np.ogrid[-radiusCircle:radiusCircle+1, -radiusCircle:radiusCircle+1]"
25,100,20,main,141,33518,0.0863,                if logicCheck[n] == 1:
25,1000,1,main,190,2161392,8.4982,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
25,1000,2,main,195,2161392,6.9049,"                row = int(coords[n,0])"
25,1000,3,main,196,2161392,6.5436,"                column = int(coords[n,1])"
25,1000,4,main,198,2161392,5.5315,                if check == 0:
25,1000,5,main,197,2161392,5.3111,"                check = correlationLattice[row, column]"
25,1000,6,main,199,2155843,4.9869,                    empty += 1
25,1000,7,main,194,2161632,3.6841,            for n in range(len(coords)):
25,1000,8,main,189,2161632,3.5446,            for n in range(len(coordsToCheck[0])):
25,1000,9,main,144,24,2.8875,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
25,1000,10,particle_collision,58,24,1.4127,    stickyInitialTest = np.nonzero(lattice)
