particleCap,steps,total_time,while_time,while_pct,for_time,for_pct
25,100,1.6164,0.4187,25.9,1.1852,73.3
25,1000,1.6549,0.4062,24.5,1.2371,74.8
50,100,3.4640,0.7811,22.5,2.6699,77.1
50,1000,3.3844,0.8841,26.1,2.4883,73.5
100,100,6.6394,1.5210,22.9,5.1053,76.9
100,1000,6.9345,1.7740,25.6,5.1485,74.2
250,100,16.7340,4.0147,24.0,12.7073,75.9
250,1000,16.7153,4.2314,25.3,12.4729,74.6
500,100,33.2863,8.3493,25.1,24.9240,74.9
500,1000,35.2980,9.6994,27.5,25.5881,72.5
750,100,58.7600,14.6006,24.8,44.1484,75.1
750,1000,62.0916,16.0814,25.9,45.9987,74.1
1001,100,80.6997,22.6352,28.0,58.0524,71.9
1001,1000,85.0567,22.6774,26.7,62.3663,73.3
